order_id,customer_id,restaurant_id,order_amount,status,created_at,updated_at
1,42,25,1437.67,PLACED,2026-06-25 06:31:04.207495,2026-06-25 06:31:04.207495
2,42,34,792.62,PLACED,2026-06-25 06:31:04.208504,2026-06-25 06:31:04.208504
3,30,48,547.18,PREPARING,2026-06-25 06:31:04.208583,2026-06-25T06:43:31.120799+00:00
4,4,43,1729.85,DELIVERED,2026-06-25 06:31:04.208648,2026-06-25T06:43:31.120799+00:00
5,20,17,1375.94,PREPARING,2026-06-25 06:31:04.208710,2026-06-25T06:43:31.120799+00:00
6,1,92,1394.89,DELIVERED,2026-06-25 06:31:04.208764,2026-06-25T06:43:31.120799+00:00
7,21,54,510.53,PREPARING,2026-06-25 06:31:04.208852,2026-06-25 06:31:04.208852
8,27,45,1165.46,CANCELLED,2026-06-25 06:31:04.208910,2026-06-25T06:43:31.120799+00:00
9,37,8,790.59,DELIVERED,2026-06-25 06:31:04.208961,2026-06-25T06:43:31.120799+00:00
10,10,79,907.58,CANCELLED,2026-06-25 06:31:04.209012,2026-06-25T06:43:31.120799+00:00
11,33,100,1039.25,PREPARING,2026-06-25 06:31:04.209062,2026-06-25T06:43:31.120799+00:00
12,33,29,1217.18,DELIVERED,2026-06-25 06:31:04.209107,2026-06-25T06:43:31.120799+00:00
13,16,93,1397.83,CANCELLED,2026-06-25 06:31:04.209154,2026-06-25T06:43:31.120799+00:00
14,49,16,602.0,PREPARING,2026-06-25 06:31:04.209202,2026-06-25 06:31:04.209202
15,7,87,1382.1,DELIVERED,2026-06-25 06:31:04.209255,2026-06-25T06:43:31.120799+00:00
16,24,32,977.95,PLACED,2026-06-25 06:31:04.209297,2026-06-25 06:31:04.209297
17,5,20,367.02,DELIVERED,2026-06-25 06:31:04.209340,2026-06-25T06:43:31.120799+00:00
18,33,85,1973.82,CANCELLED,2026-06-25 06:31:04.209383,2026-06-25T06:43:31.120799+00:00
19,2,46,438.48,PLACED,2026-06-25 06:31:04.209426,2026-06-25 06:31:04.209426
20,1,50,1247.55,PREPARING,2026-06-25 06:31:04.209480,2026-06-25T06:43:31.120799+00:00
21,46,74,1910.48,DELIVERED,2026-06-25 06:31:04.209522,2026-06-25T06:43:31.120799+00:00
22,32,45,883.06,CANCELLED,2026-06-25 06:31:04.209565,2026-06-25T06:43:31.120799+00:00
23,12,91,861.74,PREPARING,2026-06-25 06:31:04.209597,2026-06-25T06:43:31.120799+00:00
24,41,14,1699.08,PREPARING,2026-06-25 06:31:04.209627,2026-06-25 06:31:04.209627
25,32,29,218.15,PREPARING,2026-06-25 06:31:04.209657,2026-06-25T06:43:31.120799+00:00
26,22,32,818.63,DELIVERED,2026-06-25 06:31:04.209683,2026-06-25T06:43:31.120799+00:00
27,35,12,188.58,DELIVERED,2026-06-25 06:31:04.209709,2026-06-25T06:43:31.120799+00:00
28,19,22,468.28,DELIVERED,2026-06-25 06:31:04.209736,2026-06-25T06:43:31.120799+00:00
29,43,26,603.87,CANCELLED,2026-06-25 06:31:04.209762,2026-06-25T06:43:31.120799+00:00
30,6,20,819.58,DELIVERED,2026-06-25 06:31:04.209792,2026-06-25T06:43:31.120799+00:00
31,47,93,1289.3,PREPARING,2026-06-25 06:31:04.209890,2026-06-25T06:43:31.120799+00:00
32,23,65,1572.46,DELIVERED,2026-06-25 06:31:04.209951,2026-06-25T06:43:31.120799+00:00
33,20,9,268.45,DELIVERED,2026-06-25 06:31:04.209997,2026-06-25T06:43:31.120799+00:00
34,30,14,368.02,PLACED,2026-06-25 06:31:04.210045,2026-06-25 06:31:04.210045
35,18,6,242.05,DELIVERED,2026-06-25 06:31:04.210072,2026-06-25T06:43:31.120799+00:00
36,16,4,1748.23,PREPARING,2026-06-25 06:31:04.210098,2026-06-25 06:31:04.210098
37,14,56,1454.95,PREPARING,2026-06-25 06:31:04.210124,2026-06-25T06:43:31.120799+00:00
38,40,27,606.92,DELIVERED,2026-06-25 06:31:04.210149,2026-06-25T06:43:31.120799+00:00
39,38,4,1376.08,PREPARING,2026-06-25 06:31:04.210175,2026-06-25 06:31:04.210175
40,23,16,595.14,CANCELLED,2026-06-25 06:31:04.210201,2026-06-25T06:43:31.120799+00:00
41,19,70,267.92,DELIVERED,2026-06-25 06:31:04.210228,2026-06-25T06:43:31.120799+00:00
