restaurant_id,restaurant_name,city,cuisine,rating,created_at,updated_at
1,Ramaswamy Ltd,Bangalore,Biryani,4.9,2026-06-25T06:49:39.552985+00:00,2026-06-25T06:49:39.552985+00:00
2,Bora Inc,Gurgaon,Chinese,4.5,2026-06-25T06:49:39.553059+00:00,2026-06-25T06:49:39.553059+00:00
3,"Devan, Krishnamurthy and Vig",Pune,North Indian,4.4,2026-06-25T06:49:39.553084+00:00,2026-06-25T06:49:39.553084+00:00
4,"Chadha, Edwin and Bhasin",Noida,Desserts,3.8,2026-06-25T06:49:39.553104+00:00,2026-06-25T06:49:39.553104+00:00
5,"Hari, Bir and Bedi",Noida,North Indian,4.8,2026-06-25T06:49:39.553122+00:00,2026-06-25T06:49:39.553122+00:00
6,Bala PLC,Hyderabad,Italian,4.8,2026-06-25T06:49:39.553139+00:00,2026-06-25T06:49:39.553139+00:00
7,Ramesh-Konda,Mumbai,Italian,3.7,2026-06-25T06:49:39.553153+00:00,2026-06-25T06:49:39.553153+00:00
8,Ahuja-Barman,Mumbai,Biryani,3.7,2026-06-25T06:49:39.553166+00:00,2026-06-25T06:49:39.553166+00:00
9,Jha-Dara,Delhi,Cafe,3.9,2026-06-25T06:49:39.553179+00:00,2026-06-25T06:49:39.553179+00:00
10,Bassi Group,Pune,Cafe,4.6,2026-06-25T06:49:39.553192+00:00,2026-06-25T06:49:39.553192+00:00
11,Master-Patel,Hyderabad,South Indian,4.0,2026-06-25T06:49:39.553205+00:00,2026-06-25T06:49:39.553205+00:00
12,Gala-Sahni,Pune,Biryani,3.7,2026-06-25T06:49:39.553218+00:00,2026-06-25T06:49:39.553218+00:00
13,"Bawa, Agrawal and Sharma",Bangalore,Italian,3.7,2026-06-25T06:49:39.553235+00:00,2026-06-25T06:49:39.553235+00:00
14,Hegde-Choudhry,Noida,South Indian,4.0,2026-06-25T06:49:39.553250+00:00,2026-06-25T06:49:39.553250+00:00
15,"Narang, Ramakrishnan and Sankaran",Pune,Cafe,4.6,2026-06-25T06:49:39.553263+00:00,2026-06-25T06:49:39.553263+00:00
16,"Goel, Goswami and Deol",Mumbai,North Indian,4.0,2026-06-25T06:49:39.553279+00:00,2026-06-25T06:49:39.553279+00:00
17,Sane-Naidu,Mumbai,Desserts,5.0,2026-06-25T06:49:39.553294+00:00,2026-06-25T06:49:39.553294+00:00
18,Vyas and Sons,Delhi,Desserts,5.0,2026-06-25T06:49:39.553307+00:00,2026-06-25T06:49:39.553307+00:00
19,Doshi Ltd,Mumbai,Cafe,4.3,2026-06-25T06:49:39.553323+00:00,2026-06-25T06:49:39.553323+00:00
20,Goyal-Dhar,Mumbai,Cafe,4.3,2026-06-25T06:49:39.553336+00:00,2026-06-25T06:49:39.553336+00:00
21,"Solanki, Kale and Memon",Gurgaon,Desserts,4.8,2026-06-25T06:49:39.553349+00:00,2026-06-25T06:49:39.553349+00:00
22,Krishnan PLC,Pune,Fast Food,4.3,2026-06-25T06:49:39.553364+00:00,2026-06-25T06:49:39.553364+00:00
23,"Grover, Kumer and Hora",Hyderabad,Fast Food,4.3,2026-06-25T06:49:39.553378+00:00,2026-06-25T06:49:39.553378+00:00
24,"Sandhu, Lad and Randhawa",Hyderabad,Fast Food,4.2,2026-06-25T06:49:39.553393+00:00,2026-06-25T06:49:39.553393+00:00
